total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
484,0.0913695,0.08864405,"[162, 322]","[210, 274]",322
42,0.3060065,0.30079775,"[14, 28]","[21, 21]",28
163,0.1860367,0.1810174,"[55, 108]","[81, 82]",108
142,0.19838265,0.1933042,"[48, 94]","[72, 70]",94
360,0.1159005,0.1118528,"[120, 240]","[167, 193]",240
428,0.10128505,0.0979526,"[143, 285]","[191, 237]",285
239,0.15191305,0.14699655,"[80, 159]","[117, 122]",159
292,0.13400975,0.12955105,"[98, 194]","[141, 151]",194
463,0.0948844,0.0919544,"[155, 308]","[203, 260]",308
305,0.130239,0.1258192,"[102, 203]","[145, 160]",203
362,0.11536785,0.11139555,"[121, 241]","[167, 195]",241
287,0.13560435,0.1310287,"[96, 191]","[139, 148]",191
408,0.10529305,0.10169625,"[136, 272]","[185, 223]",272
282,0.1372445,0.13253675,"[94, 188]","[136, 146]",188
187,0.1737584,0.1687534,"[63, 124]","[92, 95]",124
199,0.16814575,0.1632061,"[67, 132]","[99, 100]",132
476,0.0927286,0.08988455,"[159, 317]","[205, 271]",317
503,0.088478,0.085869,"[168, 335]","[214, 289]",335
372,0.11310245,0.1091556,"[124, 248]","[171, 201]",248
382,0.11073255,0.10698935,"[128, 254]","[174, 208]",254
46,0.29859685,0.29290255,"[15, 31]","[23, 23]",31
447,0.09779895,0.09461665,"[149, 298]","[199, 248]",298
426,0.1017104,0.0983169,"[142, 284]","[190, 236]",284
169,0.18279795,0.17779285,"[57, 112]","[85, 84]",112
288,0.135366,0.13073285,"[96, 192]","[139, 149]",192
504,0.0883656,0.08572745,"[168, 336]","[215, 289]",336
487,0.09089365,0.0881978,"[163, 324]","[209, 278]",324
107,0.2237835,0.2185821,"[36, 71]","[54, 53]",71
511,0.08724635,0.08475375,"[171, 340]","[218, 293]",340
36,0.3193171,0.31409815,"[12, 24]","[18, 18]",24
256,0.145704,0.14095325,"[86, 170]","[126, 130]",170
143,0.19790545,0.19267465,"[48, 95]","[72, 71]",95
92,0.2371981,0.23204055,"[31, 61]","[47, 45]",61
279,0.1381925,0.13346215,"[93, 186]","[136, 143]",186
17,0.3818836,0.37801575,"[6, 11]","[9, 8]",11
270,0.1411121,0.13630105,"[90, 180]","[131, 139]",180
343,0.119929,0.1158529,"[115, 228]","[162, 181]",228
155,0.190698,0.1854851,"[52, 103]","[77, 78]",103
189,0.17303175,0.16780285,"[63, 126]","[95, 94]",126
289,0.1349109,0.1304389,"[97, 192]","[141, 148]",192
268,0.14161665,0.1369483,"[90, 178]","[130, 138]",178
175,0.17968355,0.1746788,"[59, 116]","[88, 87]",116
261,0.1441444,0.1392649,"[87, 174]","[127, 134]",174
436,0.09972035,0.09651865,"[146, 290]","[194, 242]",290
156,0.19026155,0.1849099,"[52, 104]","[78, 78]",104
234,0.1538842,0.1488518,"[78, 156]","[115, 119]",156
309,0.1291635,0.12470375,"[103, 206]","[147, 162]",206
497,0.0893842,0.0867325,"[166, 331]","[213, 284]",331
116,0.21657445,0.2114106,"[39, 77]","[58, 58]",77
218,0.1600725,0.1551142,"[73, 145]","[107, 111]",145
75,0.25542855,0.2501169,"[25, 50]","[38, 37]",50
402,0.1065467,0.10287495,"[134, 268]","[183, 219]",268
40,0.30919695,0.3050475,"[14, 26]","[20, 20]",26
455,0.09632085,0.09327175,"[152, 303]","[200, 255]",303
471,0.0936017,0.0906659,"[157, 314]","[206, 265]",314
240,0.1516362,0.14663015,"[80, 160]","[119, 121]",160
454,0.0964524,0.09343805,"[152, 302]","[199, 255]",302
188,0.17339175,0.1682792,"[63, 125]","[93, 95]",125
458,0.095797,0.09277185,"[153, 305]","[200, 258]",305
4,0.49758025,0.49758025,"[2, 2]","[2, 2]",2
167,0.18398395,0.17885905,"[56, 111]","[83, 84]",111
181,0.176657,0.171666,"[61, 120]","[91, 90]",120
148,0.1946866,0.1895976,"[50, 98]","[74, 74]",98
13,0.40282775,0.40065235,"[5, 8]","[7, 6]",8
60,0.27502605,0.2697549,"[20, 40]","[30, 30]",40
324,0.12501235,0.1206793,"[108, 216]","[152, 172]",216
151,0.19288535,0.18781445,"[51, 100]","[75, 76]",100
443,0.09848105,0.0953033,"[148, 295]","[197, 246]",295
280,0.13771835,0.13315555,"[94, 186]","[135, 145]",186
59,0.2761359,0.27121245,"[20, 39]","[30, 29]",39
81,0.24868635,0.243316,"[27, 54]","[41, 40]",54
249,0.14834485,0.1433878,"[83, 166]","[120, 129]",166
424,0.10200205,0.0986801,"[142, 282]","[190, 234]",282
98,0.23158535,0.2264266,"[33, 65]","[49, 49]",65
489,0.09065505,0.08789825,"[163, 326]","[210, 279]",326
86,0.24314135,0.2380126,"[29, 57]","[44, 42]",57
112,0.22010355,0.2145163,"[37, 75]","[56, 56]",75
229,0.15562095,0.1507647,"[77, 152]","[113, 116]",152
462,0.09514845,0.09211635,"[154, 308]","[203, 259]",308
141,0.19933105,0.1939346,"[47, 94]","[71, 70]",94
166,0.18440005,0.17939725,"[56, 110]","[84, 82]",110
352,0.11770995,0.11369815,"[118, 234]","[163, 189]",234
401,0.1067003,0.10307425,"[134, 267]","[183, 218]",267
55,0.28301705,0.27733795,"[18, 37]","[28, 27]",37
34,0.32307245,0.3190036,"[12, 22]","[17, 17]",22
178,0.1781516,0.1731649,"[60, 118]","[88, 90]",118
403,0.1062342,0.10267455,"[135, 268]","[183, 220]",268
451,0.09698605,0.0939429,"[151, 300]","[199, 252]",300
220,0.15916075,0.1543084,"[74, 146]","[109, 111]",146
419,0.1030344,0.0996062,"[140, 279]","[190, 229]",279
485,0.0912486,0.08849515,"[162, 323]","[209, 276]",323
25,0.34897575,0.34529045,"[9, 16]","[13, 12]",16
227,0.15649035,0.15154305,"[76, 151]","[113, 114]",151
171,0.1820049,0.17673185,"[57, 114]","[85, 86]",114
247,0.1488871,0.14410005,"[83, 164]","[119, 128]",164
244,0.14997695,0.1451773,"[82, 162]","[119, 125]",162
431,0.1007056,0.0974117,"[144, 287]","[192, 239]",287
398,0.1073263,0.1036797,"[133, 265]","[180, 218]",265
164,0.1856231,0.18047095,"[55, 109]","[82, 82]",109
197,0.1691701,0.1641034,"[66, 131]","[98, 99]",131
383,0.1105645,0.1067746,"[128, 255]","[177, 206]",255
290,0.1346842,0.13014085,"[97, 193]","[139, 151]",193
100,0.229592,0.2246246,"[34, 66]","[50, 50]",66
196,0.1695039,0.1645528,"[66, 130]","[97, 99]",130
328,0.12380425,0.1196339,"[110, 218]","[155, 173]",218
139,0.20029725,0.1952058,"[47, 92]","[70, 69]",92
322,0.1254199,0.12120835,"[108, 214]","[151, 171]",214
457,0.0959287,0.09293815,"[153, 304]","[199, 258]",304
307,0.1295937,0.1252568,"[103, 204]","[145, 162]",204
260,0.1444005,0.13959905,"[87, 173]","[127, 133]",173
64,0.26971325,0.26409255,"[21, 43]","[33, 31]",43
128,0.2078276,0.20260215,"[43, 85]","[65, 63]",85
356,0.11679475,0.11277165,"[119, 237]","[164, 192]",237
512,0.0871371,0.0846192,"[171, 341]","[218, 294]",341
468,0.09411025,0.0911441,"[156, 312]","[203, 265]",312
133,0.2042334,0.1991655,"[45, 88]","[66, 67]",88
10,0.4240983,0.42226075,"[4, 6]","[5, 5]",6
135,0.2032284,0.19782285,"[45, 90]","[68, 67]",90
94,0.2350589,0.2301249,"[32, 62]","[48, 46]",62
47,0.29582045,0.29104045,"[16, 31]","[24, 23]",31
359,0.11607935,0.1120795,"[120, 239]","[167, 192]",239
251,0.14754985,0.1426851,"[84, 167]","[122, 129]",167
483,0.0916182,0.08879425,"[161, 322]","[209, 274]",322
228,0.1562022,0.15115425,"[76, 152]","[113, 115]",152
101,0.2289124,0.2237309,"[34, 67]","[51, 50]",67
252,0.14729195,0.14233175,"[84, 168]","[123, 129]",168
371,0.1132726,0.109378,"[124, 247]","[170, 201]",247
416,0.1036289,0.10016645,"[139, 277]","[189, 227]",277
327,0.1242079,0.11989615,"[109, 218]","[155, 172]",218
357,0.11661555,0.1125397,"[119, 238]","[165, 192]",238
254,0.14649115,0.1416387,"[85, 169]","[124, 130]",169
78,0.25197225,0.2466477,"[26, 52]","[39, 39]",52
317,0.12685415,0.1225289,"[106, 211]","[151, 166]",211
200,0.1678101,0.1627608,"[67, 133]","[100, 100]",133
345,0.1195609,0.1153609,"[115, 230]","[162, 183]",230
176,0.17929345,0.1741699,"[59, 117]","[88, 88]",117
363,0.1151906,0.1111703,"[121, 242]","[167, 196]",242
121,0.213196,0.20763485,"[40, 81]","[61, 60]",81
469,0.09385275,0.09098365,"[157, 312]","[204, 265]",312
108,0.223159,0.2177574,"[36, 72]","[55, 53]",72
277,0.1386688,0.13408405,"[93, 184]","[134, 143]",184
67,0.26568575,0.2600661,"[22, 45]","[34, 33]",45
79,0.25033925,0.24551865,"[27, 52]","[40, 39]",52
437,0.099578,0.0963436,"[146, 291]","[194, 243]",291
326,0.1244148,0.12015685,"[109, 217]","[153, 173]",217
19,0.37177765,0.36859605,"[7, 12]","[10, 9]",12
358,0.116259,0.11230925,"[120, 238]","[166, 192]",238
30,0.33500445,0.3297026,"[10, 20]","[15, 15]",20
276,0.139143,0.13439435,"[92, 184]","[132, 144]",184
27,0.34397875,0.3387118,"[9, 18]","[14, 13]",18
74,0.25632325,0.25130195,"[25, 49]","[38, 36]",49
233,0.1541698,0.14922865,"[78, 155]","[114, 119]",155
486,0.0911297,0.08834495,"[162, 324]","[210, 276]",324
22,0.35962535,0.35612395,"[8, 14]","[11, 11]",14
84,0.24546955,0.24010485,"[28, 56]","[42, 42]",56
478,0.09236,0.0895686,"[160, 318]","[206, 272]",318
439,0.09915905,0.09599495,"[147, 292]","[194, 245]",292
150,0.19377905,0.1884077,"[50, 100]","[74, 76]",100
109,0.2219273,0.2169391,"[37, 72]","[56, 53]",72
477,0.0926077,0.0897248,"[159, 318]","[206, 271]",318
446,0.0979352,0.0947868,"[149, 297]","[199, 247]",297
201,0.16747595,0.16231665,"[67, 134]","[100, 101]",134
348,0.1188114,0.11464085,"[116, 232]","[163, 185]",232
232,0.15445935,0.14960875,"[78, 154]","[114, 118]",154
396,0.1077923,0.10408515,"[132, 264]","[180, 216]",264
24,0.35400615,0.34874945,"[8, 16]","[12, 12]",16
53,0.2854255,0.2805746,"[18, 35]","[27, 26]",35
389,0.109247,0.10551705,"[130, 259]","[177, 212]",259
91,0.2379296,0.23301035,"[31, 60]","[46, 45]",60
351,0.11807365,0.1139342,"[117, 234]","[162, 189]",234
241,0.1510858,0.1462647,"[81, 160]","[119, 122]",160
29,0.33718645,0.33261035,"[10, 19]","[15, 14]",19
77,0.2528193,0.2477848,"[26, 51]","[39, 38]",51
347,0.11899955,0.1148769,"[116, 231]","[162, 185]",231
445,0.09807205,0.09495865,"[149, 296]","[199, 246]",296
259,0.14466275,0.1399347,"[87, 172]","[127, 132]",172
496,0.08949825,0.0868773,"[166, 330]","[212, 284]",330
66,0.26667225,0.26137915,"[22, 44]","[33, 33]",44
329,0.12360495,0.1193778,"[110, 219]","[155, 174]",219
158,0.1889801,0.18378035,"[53, 105]","[79, 79]",105
377,0.1119129,0.1080591,"[126, 251]","[174, 203]",251
138,0.20126705,0.1958536,"[46, 92]","[69, 69]",92
274,0.1396283,0.13502135,"[92, 182]","[132, 142]",182
409,0.104988,0.1015023,"[137, 272]","[186, 223]",272
124,0.21047625,0.2054526,"[42, 82]","[62, 62]",82
506,0.08803,0.08544485,"[169, 337]","[215, 291]",337
304,0.1304517,0.12609605,"[102, 202]","[145, 159]",202
265,0.14262225,0.1379309,"[89, 176]","[128, 137]",176
384,0.11039995,0.1065607,"[128, 256]","[177, 207]",256
202,0.1668128,0.16188185,"[68, 134]","[101, 101]",134
434,0.1001326,0.0968731,"[145, 289]","[192, 242]",289
104,0.2263132,0.2211231,"[35, 69]","[53, 51]",69
174,0.1804545,0.1751886,"[58, 116]","[87, 87]",116
430,0.1008525,0.09759135,"[144, 286]","[192, 238]",286
414,0.10407275,0.10054395,"[138, 276]","[189, 225]",276
512,0.0871371,0.0846192,"[171, 341]","[218, 294]",341
429,0.1011405,0.09777055,"[143, 286]","[192, 237]",286
97,0.23227395,0.2273344,"[33, 64]","[49, 48]",64
494,0.08984395,0.08716765000000001,"[165, 329]","[210, 284]",329
154,0.19113515,0.18606335,"[52, 102]","[77, 77]",102
418,0.10318375,0.09979195,"[140, 278]","[189, 229]",278
302,0.13110615,0.1266691,"[101, 201]","[143, 159]",201
54,0.2842021,0.2789418,"[18, 36]","[27, 27]",36
216,0.16100445,0.1559346,"[72, 144]","[106, 110]",144
236,0.15304755,0.1481006,"[79, 157]","[116, 120]",157
466,0.0943652,0.09146695,"[156, 310]","[203, 263]",310
379,0.11140335,0.10762985,"[127, 252]","[174, 205]",252
9,0.4360406,0.4314272,"[3, 6]","[5, 4]",6
51,0.2891697,0.28390205,"[17, 34]","[26, 25]",34
312,0.12832285,0.12388435,"[104, 208]","[147, 165]",208
381,0.11106655,0.10720105,"[127, 254]","[174, 207]",254
58,0.27835365,0.2727039,"[19, 39]","[29, 29]",39
23,0.3567176,0.35238175,"[8, 15]","[12, 11]",15
3,0.52579,0.525346,"[1, 2]","[2, 1]",2
195,0.17019295,0.1650079,"[65, 130]","[96, 99]",130
105,0.2256766,0.2202722,"[35, 70]","[54, 51]",70
374,0.1125919,0.10871075,"[125, 249]","[173, 201]",249
286,0.13582915,0.13132675,"[96, 190]","[139, 147]",190
129,0.20729,0.20190305,"[43, 86]","[65, 64]",86
366,0.1144929,0.1104961,"[122, 244]","[170, 196]",244
354,0.11734675,0.1132348,"[118, 236]","[164, 190]",236
500,0.08892395,0.0863003,"[167, 333]","[213, 287]",333
137,0.20175745,0.1965061,"[46, 91]","[69, 68]",91
12,0.41216095,0.407126,"[4, 8]","[6, 6]",8
243,0.1505234,0.14554395,"[81, 162]","[119, 124]",162
90,0.2393718,0.23399145,"[30, 60]","[45, 45]",60
140,0.19981145,0.1945692,"[47, 93]","[70, 70]",93
246,0.14942905,0.1444582,"[82, 164]","[119, 127]",164
71,0.2599732,0.25494945,"[24, 47]","[36, 35]",47
411,0.10467415,0.10111645,"[137, 274]","[186, 225]",274
491,0.09030685,0.0876063,"[164, 327]","[211, 280]",327
152,0.1924412,0.187227,"[51, 101]","[76, 76]",101
132,0.20523275,0.1998451,"[44, 88]","[66, 66]",88
412,0.10437185,0.10092465,"[138, 274]","[187, 225]",274
325,0.12461335,0.12041705,"[109, 216]","[152, 173]",216
122,0.2121032,0.20690335,"[41, 81]","[61, 61]",81
136,0.2022473,0.19716165,"[46, 90]","[69, 67]",90
257,0.14543735,0.14061335,"[86, 171]","[127, 130]",171
217,0.16038245,0.1555185,"[73, 144]","[106, 111]",144
18,0.3782513,0.3730916,"[6, 12]","[9, 9]",12
61,0.27395005,0.2683127,"[20, 41]","[31, 30]",41
399,0.10716755,0.10347805,"[133, 266]","[181, 218]",266
206,0.1651516,0.16014055,"[69, 137]","[102, 104]",137
338,0.12125555,0.11709565,"[113, 225]","[158, 180]",225
162,0.1868614,0.1815678,"[54, 108]","[80, 82]",108
212,0.1625715,0.157594,"[71, 141]","[106, 106]",141
339,0.12106605,0.11684575,"[113, 226]","[158, 181]",226
255,0.14622475,0.1412997,"[85, 170]","[125, 130]",170
433,0.1002777,0.09705035,"[145, 288]","[192, 241]",288
407,0.10544925,0.10189105,"[136, 271]","[184, 223]",271
173,0.18084405,0.1756997,"[58, 115]","[86, 87]",115
11,0.4177299,0.41462165,"[4, 7]","[6, 5]",7
192,0.1716001,0.16638455,"[64, 128]","[95, 97]",128
32,0.32880775,0.32421475,"[11, 21]","[16, 16]",21
460,0.0954062,0.09244445,"[154, 306]","[203, 257]",306
45,0.30003375,0.2948254,"[15, 30]","[23, 22]",30
475,0.09285575,0.09004255,"[159, 316]","[204, 271]",316
144,0.19743305,0.19205015,"[48, 96]","[72, 72]",96
177,0.17891165,0.1736667,"[59, 118]","[88, 89]",118
213,0.16226185,0.157171,"[71, 142]","[106, 107]",142
14,0.3979036,0.39428395,"[5, 9]","[7, 7]",9
423,0.10229845,0.09886585,"[141, 282]","[189, 234]",282
492,0.09019115,0.0874593,"[164, 328]","[210, 282]",328
130,0.20625305,0.201214,"[44, 86]","[66, 64]",86
6,0.4693555,0.4644674,"[2, 4]","[3, 3]",4
190,0.17231735,0.16732565,"[64, 126]","[95, 95]",126
404,0.10607785,0.10247735,"[135, 269]","[183, 221]",269
470,0.09372325,0.0908249,"[157, 313]","[204, 266]",313
16,0.3858726,0.38304615,"[6, 10]","[8, 8]",10
369,0.1137889,0.1098235,"[123, 246]","[171, 198]",246
226,0.1567924,0.15193215,"[76, 150]","[113, 113]",150
264,0.14312305,0.13826305,"[88, 176]","[128, 136]",176
165,0.18521835,0.179929,"[55, 110]","[83, 82]",110
115,0.21715685,0.2121808,"[39, 76]","[59, 56]",76
38,0.314091,0.30944725,"[13, 25]","[19, 19]",25
8,0.44353625,0.4407604,"[3, 5]","[4, 4]",5
493,0.0899592,0.08731445,"[165, 328]","[210, 283]",328
314,0.12769705,0.1233425,"[105, 209]","[149, 165]",209
184,0.1751969,0.1701968,"[62, 122]","[92, 92]",122
344,0.11974265,0.11560735,"[115, 229]","[162, 182]",229
211,0.1632061,0.15801185,"[70, 141]","[103, 108]",141
89,0.2401212,0.23497795,"[30, 59]","[45, 44]",59
170,0.182394,0.1772663,"[57, 113]","[84, 86]",113
168,0.18359045,0.1783273,"[56, 112]","[84, 84]",112
323,0.125216,0.1209428,"[108, 215]","[152, 171]",215
479,0.0922364,0.0894116,"[160, 319]","[206, 273]",319
157,0.18940965,0.1843396,"[53, 104]","[78, 79]",104
318,0.12664705,0.12226335,"[106, 212]","[152, 166]",212
336,0.12184475,0.11759835,"[112, 224]","[157, 179]",224
353,0.1175282,0.11346455,"[118, 235]","[163, 190]",235
127,0.208351,0.203305,"[43, 84]","[64, 63]",84
126,0.2094063,0.2040194,"[42, 84]","[63, 63]",84
49,0.29310705,0.2873967,"[16, 33]","[25, 24]",33
467,0.0942376,0.0913065,"[156, 311]","[204, 263]",311
235,0.15332495,0.14847515,"[79, 156]","[115, 120]",156
397,0.10749,0.1038804,"[133, 264]","[179, 218]",264
498,0.0892675,0.08658915,"[166, 332]","[214, 284]",332
385,0.110072,0.106349,"[129, 256]","[177, 208]",256
313,0.1279038,0.1236136,"[105, 208]","[147, 166]",208
39,0.31239655,0.3072295,"[13, 26]","[20, 19]",26
221,0.15885695,0.15390475,"[74, 147]","[110, 111]",147
393,0.10843835,0.1046934,"[131, 262]","[179, 214]",262
474,0.09310035,0.09019855,"[158, 316]","[208, 266]",316
65,0.26767425,0.2627244,"[22, 43]","[33, 32]",43
35,0.3211496,0.3165237,"[12, 23]","[18, 17]",23
456,0.0961889,0.0931047,"[152, 304]","[199, 257]",304
364,0.11483805,0.1109452,"[122, 242]","[167, 197]",242
63,0.27074655,0.26546295,"[21, 42]","[32, 31]",42
245,0.14970255,0.1448173,"[82, 163]","[119, 126]",163
161,0.18727945,0.18211615,"[54, 107]","[81, 80]",107
88,0.2408787,0.2359773,"[30, 58]","[44, 44]",58
427,0.1014258,0.09813305,"[143, 284]","[190, 237]",284
113,0.21891115,0.2137238,"[38, 75]","[57, 56]",75
114,0.2183168,0.21295175,"[38, 76]","[58, 56]",76
182,0.17628675,0.17117615,"[61, 121]","[91, 91]",121
5,0.4811202,0.48092745,"[2, 3]","[3, 2]",3
510,0.08746875,0.08488985,"[170, 340]","[218, 292]",340
87,0.24237015,0.2369793,"[29, 58]","[44, 43]",58
421,0.10258955,0.09923525,"[141, 280]","[189, 232]",280
499,0.08903775,0.0864451,"[167, 332]","[212, 287]",332
193,0.17089725,0.1659199,"[65, 128]","[96, 97]",128
125,0.20994465,0.20473485,"[42, 83]","[63, 62]",83
422,0.10244655,0.0990495,"[141, 281]","[190, 232]",281
20,0.3683986,0.36420415,"[7, 13]","[10, 10]",13
73,0.25723105,0.25249435,"[25, 48]","[37, 36]",48
378,0.11174325,0.10784515,"[126, 252]","[174, 204]",252
99,0.23090505,0.2255193,"[33, 66]","[50, 49]",66
297,0.13265415,0.12809055,"[99, 198]","[142, 155]",198
473,0.093227,0.09035395,"[158, 315]","[206, 267]",315
410,0.104831,0.1013098,"[137, 273]","[186, 224]",273
386,0.1099032,0.10614225,"[129, 257]","[177, 209]",257
490,0.0904253,0.0877504,"[164, 326]","[210, 280]",326
69,0.26277825,0.2574773,"[23, 46]","[35, 34]",46
452,0.0968525,0.09377485,"[151, 301]","[199, 253]",301
160,0.18770245,0.18266655,"[54, 106]","[80, 80]",106
146,0.1960477,0.1908061,"[49, 97]","[73, 73]",97
335,0.12203725,0.1178506,"[112, 223]","[157, 178]",223
361,0.11555035,0.1116253,"[121, 240]","[166, 195]",240
180,0.17739485,0.1721654,"[60, 120]","[90, 90]",120
464,0.0947507,0.0917917,"[155, 309]","[203, 261]",309
198,0.16882525,0.16365405,"[66, 132]","[98, 100]",132
301,0.1313327,0.1269473,"[101, 200]","[145, 156]",200
444,0.09834415,0.09513075,"[148, 296]","[199, 245]",296
263,0.14338205,0.13859705,"[88, 175]","[127, 136]",175
262,0.1436346,0.1389309,"[88, 174]","[128, 134]",174
56,0.2806629,0.2757797,"[19, 37]","[29, 27]",37
43,0.30300945,0.29875875,"[15, 28]","[22, 21]",28
340,0.120682,0.1166002,"[114, 226]","[158, 182]",226
391,0.10876125,0.105101,"[131, 260]","[177, 214]",260
394,0.108116,0.1044895,"[132, 262]","[179, 215]",262
253,0.1467575,0.14198315,"[85, 168]","[123, 130]",168
225,0.15737985,0.15232685,"[75, 150]","[111, 114]",150
258,0.14517385,0.1402746,"[86, 172]","[126, 132]",172
231,0.15503455,0.14999055,"[77, 154]","[114, 117]",154
223,0.15796565,0.1531073,"[75, 148]","[110, 113]",148
50,0.29046735,0.2856296,"[17, 33]","[25, 25]",33
64,0.26971325,0.26409255,"[21, 43]","[33, 31]",43
222,0.1585589,0.15351095,"[74, 148]","[109, 113]",148
284,0.1365274,0.1319279,"[95, 189]","[137, 147]",189
82,0.2478697,0.24224,"[27, 55]","[41, 41]",55
420,0.10288655,0.0994234,"[140, 280]","[189, 231]",280
334,0.1222337,0.1181049,"[112, 222]","[157, 177]",222
337,0.1214489,0.11734605,"[113, 224]","[157, 180]",224
311,0.12853455,0.12415585,"[104, 207]","[147, 164]",207
207,0.16482505,0.1597092,"[69, 138]","[103, 104]",138
355,0.1169786,0.1130014,"[119, 236]","[163, 192]",236
117,0.2159962,0.21063965,"[39, 78]","[59, 58]",78
2,0.55355575,0.55355575,"[1, 1]","[1, 1]",1
37,0.3158581,0.311744,"[13, 24]","[19, 18]",24
44,0.3014913,0.29676565,"[15, 29]","[22, 22]",29
191,0.17195825,0.16685325,"[64, 127]","[95, 96]",127
375,0.11242255,0.1084904,"[125, 250]","[174, 201]",250
291,0.13445915,0.12984665,"[97, 194]","[142, 149]",194
250,0.1478131,0.14303765,"[84, 166]","[121, 129]",166
459,0.0956651,0.0926085,"[153, 306]","[201, 258]",306
96,0.23364435,0.22825105,"[32, 64]","[48, 48]",64
205,0.16548375,0.1605764,"[69, 136]","[101, 104]",136
26,0.3464043,0.3419114,"[9, 17]","[13, 13]",17
367,0.11413955,0.110271,"[123, 244]","[170, 197]",244
370,0.11344445,0.1096006,"[124, 246]","[172, 198]",246
395,0.10795145,0.10428585,"[132, 263]","[179, 216]",263
298,0.13220885,0.12780495,"[100, 198]","[142, 156]",198
185,0.17483835,0.169711,"[62, 123]","[92, 93]",123
237,0.1527632,0.14773035,"[79, 158]","[116, 121]",158
448,0.0975285,0.0944451,"[150, 298]","[199, 249]",298
400,0.1068535,0.1032752,"[134, 266]","[182, 218]",266
380,0.1112353,0.10741495,"[127, 253]","[174, 206]",253
349,0.11844305,0.1144087,"[117, 232]","[162, 187]",232
333,0.12262165,0.1183575,"[111, 222]","[157, 176]",222
405,0.1059195,0.10228185,"[135, 270]","[184, 221]",270
425,0.1018572,0.09849835,"[142, 283]","[190, 235]",283
495,0.0897287,0.08702355,"[165, 330]","[211, 284]",330
186,0.17447615,0.1692306,"[62, 124]","[92, 94]",124
179,0.1777715,0.1726641,"[60, 119]","[89, 90]",119
373,0.11276345,0.1089327,"[125, 248]","[172, 201]",248
278,0.13842365,0.13377155,"[93, 185]","[135, 143]",185
85,0.2439113,0.23904955,"[29, 56]","[43, 42]",56
507,0.08792,0.08530315,"[169, 338]","[216, 291]",338
306,0.13002505,0.12553455,"[102, 204]","[145, 161]",204
281,0.1374813,0.13284615,"[94, 187]","[136, 145]",187
480,0.0921132,0.08925475,"[160, 320]","[206, 274]",320
203,0.16648155,0.161446,"[68, 135]","[102, 101]",135
172,0.18123285,0.1762111,"[58, 114]","[86, 86]",114
219,0.1597631,0.1547074,"[73, 146]","[108, 111]",146
300,0.1317675,0.12723235,"[100, 200]","[144, 156]",200
415,0.1037739,0.10035445,"[139, 276]","[189, 226]",276
123,0.21155215,0.206177,"[41, 82]","[61, 62]",82
209,0.1638538,0.1588529,"[70, 139]","[103, 106]",139
482,0.09173895,0.08894615,"[161, 321]","[208, 274]",321
214,0.16163145,0.15675295,"[72, 142]","[106, 108]",142
273,0.14011725,0.135331,"[91, 182]","[132, 141]",182
442,0.09861865,0.0954754,"[148, 294]","[197, 245]",294
93,0.23647175,0.2310733,"[31, 62]","[47, 46]",62
388,0.10940855,0.10572415,"[130, 258]","[177, 211]",258
7,0.4527027,0.4525251,"[3, 4]","[4, 3]",4
501,0.08881385,0.08615695,"[167, 334]","[214, 287]",334
293,0.13377755,0.12925465,"[98, 195]","[142, 151]",195
