trace_name,number_of_requests,wsr,slab_size,slab_cnt,mhMinDiff,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_202210_kv,1482478166,0.004,4,88,50,marginal-hits-tuned,LRU,,1003563.1066103629,27919,0.08824646122983777,27919,50000,0,meta_202210_kv-b2f49f81ad5cbd468726fa3c040f6b32,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,5,marginal-hits-tuned,LRU,,1191166.8172311918,29623,0.09000733977757619,29623,50000,0,meta_202210_kv-c7d96de79460b103dc2a613fa6a57727,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,500,marginal-hits-tuned,LRU,,1078447.7193284673,26,0.10319383617822538,26,50000,0,meta_202210_kv-9c9d698514bc9a80b15a8c80a091c565,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,100,marginal-hits-tuned,LRU,,1220973.3704164089,321,0.08279228646663252,321,50000,0,meta_202210_kv-13491a7e32d0fece01f58e8e1526e54b,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,200,marginal-hits-tuned,LRU,,1077637.2672554613,36,0.09092087228757202,36,50000,0,meta_202210_kv-a5394a572d1d8caf48768c17373fa31e,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1201985.033976982,29624,0.09031049904852359,29624,50000,0,meta_202210_kv-850c0ec0c6b6e384afdb59f92c33763c,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,10,marginal-hits-tuned,LRU,,991815.0596661144,29614,0.09012627913469047,29614,50000,0,meta_202210_kv-4381e4ce98481aac566b3bef55e2e2aa,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,20,marginal-hits-tuned,LRU,,1166224.5481779717,29580,0.0905645722677038,29580,50000,0,meta_202210_kv-d1a42001a1e597eb924cd55346e593b0,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,1000,marginal-hits-tuned,LRU,,947076.4683626152,22,0.10941503404239682,22,50000,0,meta_202210_kv-e3b2d5b81d35859439be6ecd3becb0b9,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1138501.5041745743,16578,0.094704065273903,16578,50000,0,meta_202210_kv-1617e390f80f4867c3afce026b45e40e,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,50,marginal-hits-tuned,LRU2Q,cold,1235603.4418317848,35,0.07549930081061308,35,50000,0,meta_202210_kv-70e263eca92ef866a794f0cc6dadd901,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,1000,marginal-hits-tuned,LRU2Q,cold,1118741.175041718,0,0.11958399257800603,0,50000,0,meta_202210_kv-49abf10cc35e20bb17d95868f21e08fd,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,20,marginal-hits-tuned,LRU2Q,cold,933206.9003605153,167,0.0723666529871847,167,50000,0,meta_202210_kv-7b946f6c57aa412e0fb448942e737b07,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1209424.7970725375,16578,0.094704065273903,16578,50000,0,meta_202210_kv-37cf44adde7eeb12af4fe49aa91c9512,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,50,marginal-hits-tuned,LRU2Q,cold,1131580.332673464,35,0.07549930081061308,35,50000,0,meta_202210_kv-c3ef0e6e6a69aa5b112d6d114d3f5ced,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,500,marginal-hits-tuned,LRU2Q,cold,1076084.4315949702,1,0.11456741144341413,1,50000,0,meta_202210_kv-c1c14b1db57fb1d6d810165cc3a9fedf,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,1000,marginal-hits-tuned,LRU2Q,cold,1151925.35791411,0,0.11958399257800603,0,50000,0,meta_202210_kv-ee4cfdfb419d9fd69a9f584f4f1275be,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,20,marginal-hits-tuned,LRU2Q,cold,930960.3773625072,167,0.0723666529871847,167,50000,0,meta_202210_kv-74878cdc4cbe1d764214f7afe36fdd50,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,10,marginal-hits-tuned,LRU2Q,cold,994229.138085244,3117,0.08397794912279335,3117,50000,0,meta_202210_kv-5166643296093054f6508d60e849f978,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,100,marginal-hits-tuned,LRU2Q,cold,1037830.3412170976,18,0.08555449173475382,18,50000,0,meta_202210_kv-3095993cd4e11f9d6a9e8577861f3e8a,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,5,marginal-hits-tuned,LRU2Q,cold,1134841.3697933122,9218,0.09130188025986752,9218,50000,0,meta_202210_kv-640a06a95567f64cb13dd7e87ba84b16,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,500,marginal-hits-tuned,LRU2Q,cold,1142806.4592271002,1,0.11456741144341413,1,50000,0,meta_202210_kv-2e44a7868f5b19ccacbae099cab3714f,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,100,marginal-hits-tuned,LRU2Q,cold,1254942.1398493983,18,0.08555449173475382,18,50000,0,meta_202210_kv-cd5987a984a7dce3a7f98bc3739f2793,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,200,marginal-hits-tuned,LRU2Q,cold,1227448.8766193679,8,0.09660438533568258,8,50000,0,meta_202210_kv-12e70faa6513aa71e09829098b883081,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,10,marginal-hits-tuned,LRU2Q,cold,1100602.6508207966,3117,0.08397794912279335,3117,50000,0,meta_202210_kv-65da5b43814dc436c767ff971a562829,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,200,marginal-hits-tuned,LRU2Q,cold,1127408.3608729409,8,0.09660438533568258,8,50000,0,meta_202210_kv-7c99618fd0d7770b79f4b4040e489c63,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,5,marginal-hits-tuned,LRU2Q,cold,1177303.121859353,9218,0.09130188025986752,9218,50000,0,meta_202210_kv-14900e805da1a90ebdd1eb0d0e2bcf65,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,100,marginal-hits-tuned,TINYLFU,,880466.022103678,451,0.08221625842144106,451,50000,0,meta_202210_kv-35899d2cd198e905d219badb66bab982,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
meta_202210_kv,1482478166,0.004,4,88,200,marginal-hits-tuned,TINYLFU,,1002077.3791320503,37,0.09001926642877787,37,50000,0,meta_202210_kv-a156fb43c9ec33922ec0a227073ccbb7,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_fixed_thresh,,,
