request_id,effective_move_rate
1800000,1.0
1850000,1.0
1900000,1.0
1950000,1.0
2000000,1.0
2050000,1.0
2100000,1.0
2150000,1.0
2200000,1.0
2250000,1.0
2300000,1.0
2350000,1.0
2400000,1.0
2450000,1.0
2500000,1.0
2550000,1.0
2600000,1.0
2650000,1.0
2700000,1.0
2750000,1.0
2800000,1.0
2850000,1.0
2900000,1.0
2950000,1.0
3000000,1.0
3050000,1.0
3100000,1.0
3150000,1.0
3200000,1.0
3250000,1.0
3300000,1.0
3350000,1.0
3400000,1.0
3450000,1.0
3500000,1.0
3550000,1.0
3600000,1.0
3650000,1.0
3700000,1.0
3750000,1.0
3800000,1.0
3850000,1.0
3900000,1.0
3950000,1.0
4000000,1.0
4050000,1.0
4100000,1.0
4150000,1.0
4200000,1.0
4250000,1.0
4300000,1.0
4350000,1.0
4400000,1.0
4450000,1.0
4500000,1.0
4550000,1.0
4600000,1.0
4650000,1.0
4700000,0.9
4750000,0.9
4800000,0.9
4850000,0.8
4900000,0.8
4950000,0.8
5000000,0.7
5050000,0.7
5100000,0.7
5150000,0.6
5200000,0.7
5250000,0.6
5300000,0.6
5350000,0.7
5400000,0.7
5450000,0.6
5500000,0.6
5550000,0.6
5600000,0.7
5650000,0.7
5700000,0.8
5750000,0.7
5800000,0.7
5850000,0.8
5900000,0.8
5950000,0.8
6000000,0.6
6050000,0.6
6100000,0.6
6150000,0.5
6200000,0.4
6250000,0.4
6300000,0.5
6350000,0.5
6450000,0.5
6600000,0.5
6650000,0.5
6700000,0.5
6750000,0.6
6800000,0.6
6850000,0.5
6900000,0.4
7050000,0.4
7150000,0.5
7200000,0.5
7400000,0.5
7450000,0.4
7500000,0.4
7600000,0.6
7650000,0.7
7700000,0.5
7750000,0.4
7800000,0.3
7850000,0.3
7900000,0.4
7950000,0.4
8000000,0.4
8050000,0.5
8100000,0.7
8200000,0.5
8250000,0.5
8350000,0.5
8400000,0.5
8500000,0.5
8550000,0.4
8600000,0.5
8650000,0.4
8700000,0.4
8750000,0.2
8800000,0.3
8850000,0.5
8950000,0.6
9000000,0.6
9050000,0.6
9250000,0.5
9350000,0.4
9400000,0.3
9500000,0.1
9750000,0.2
9800000,0.3
9850000,0.4
9900000,0.6
10000000,0.8
10150000,0.7
10400000,0.6
10450000,0.6
10550000,0.5
10700000,0.4
10900000,0.4
10950000,0.4
11250000,0.5
11550000,0.5
11600000,0.4
12750000,0.4
12900000,0.3
13050000,0.3
13950000,0.2
14450000,0.2
14500000,0.2
14800000,0.4
15450000,0.2
15500000,0.2
17900000,0.1
23150000,0.1
25250000,0.2
35450000,0.4
36200000,0.3
39400000,0.4
40650000,0.3
