request_id,effective_move_rate
5000000,1.0
5050000,1.0
5100000,1.0
5150000,1.0
5200000,1.0
5250000,1.0
5300000,1.0
5350000,1.0
5400000,0.8888888888888888
5450000,0.9
5500000,0.9
5550000,0.9
5600000,0.8
5650000,0.8
5700000,0.8
5750000,0.8
5800000,0.8
5850000,0.8
5900000,1.0
5950000,1.0
6000000,1.0
6050000,1.0
6100000,1.0
6250000,0.9
6300000,0.9
6350000,0.9
6500000,0.9
6550000,0.9
6600000,0.9
6750000,1.0
6800000,1.0
6850000,1.0
6900000,0.9
6950000,1.0
7000000,0.9
7050000,0.8
7100000,0.8
7150000,0.7
7250000,0.7
7300000,0.7
7350000,0.6
7450000,0.6
7500000,0.7
7650000,0.8
7700000,0.7
7750000,0.7
7800000,0.9
7850000,0.8
7900000,0.7
8000000,0.6
8050000,0.7
8100000,0.6
8150000,0.6
8200000,0.5
8250000,0.6
8300000,0.5
8400000,0.5
8450000,0.6
8500000,0.6
8550000,0.5
8650000,0.3
8700000,0.4
8750000,0.4
8800000,0.4
8850000,0.4
9000000,0.4
9050000,0.4
9150000,0.6
9300000,0.6
9400000,0.7
9450000,0.5
9500000,0.5
9550000,0.5
9600000,0.6
9750000,0.5
9850000,0.5
9900000,0.6
9950000,0.7
10000000,0.7
10100000,0.8
10150000,0.9
10250000,0.9
10450000,0.7
10500000,0.7
10550000,0.5
10700000,0.5
10800000,0.5
10900000,0.5
10950000,0.5
11100000,0.5
11450000,0.5
11600000,0.6
11750000,0.7
11800000,0.6
12100000,0.7
12250000,0.7
12450000,0.7
12500000,0.6
12600000,0.6
12750000,0.6
12800000,0.6
13200000,0.6
13550000,0.7
13950000,0.7
14000000,0.6
14350000,0.7
14500000,0.7
14750000,0.8
14800000,0.8
14850000,0.7
14950000,0.6
15200000,0.6
15500000,0.5
15600000,0.5
15650000,0.6
16100000,0.6
16150000,0.7
16600000,0.6
17050000,0.6
17550000,0.6
17600000,0.7
18000000,0.7
18100000,0.8
18750000,0.8
19250000,0.8
19850000,0.8
20200000,0.8
20500000,0.9
20850000,0.7
21150000,0.8
21750000,0.7
21800000,0.6
21850000,0.6
22000000,0.6
22450000,0.6
22600000,0.5
22650000,0.5
22750000,0.5
22850000,0.4
23450000,0.4
24200000,0.4
24400000,0.4
24450000,0.4
25100000,0.6
26050000,0.7
27150000,0.7
27300000,0.6
27450000,0.5
27700000,0.6
27750000,0.6
27800000,0.5
27950000,0.5
28050000,0.3
28150000,0.3
28250000,0.2
28700000,0.2
28750000,0.2
28950000,0.1
29050000,0.2
29300000,0.4
29350000,0.6
29400000,0.7
